director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,description
Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,Wild Wild West,Wild Wild West Will Smith Salma Hayek Bai Ling Action Comedy Sci-Fi Western
Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor Jet Li Brendan Fraser Russell Wong Action Adventure Fantasy Horror Thriller
David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,Suicide Squad,Suicide Squad Will Smith Robin Atkin Downes Ike Barinholtz Action Adventure Comedy Sci-Fi
Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,Evan Almighty,Evan Almighty Jimmy Bennett Morgan Freeman Steve Carell Comedy Family Fantasy
Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,Edge of Tomorrow,Edge of Tomorrow Tom Cruise Lara Pulver Noah Taylor Action Adventure Sci-Fi
Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,Waterworld,Waterworld Jeanne Tripplehorn Rick Aviles Zakes Mokae Action Adventure Sci-Fi Thriller
Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,G.I. Joe: The Rise of Cobra,G.I. Joe: The Rise of Cobra Joseph Gordon-Levitt Dennis Quaid Leo Howard Action Adventure Sci-Fi Thriller
Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,Inside Out,Inside Out Amy Poehler Mindy Kaling Phyllis Smith Adventure Animation Comedy Drama Family Fantasy
Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,Iron Man 2,Iron Man 2 Robert Downey Jr. Scarlett Johansson Jon Favreau Action Adventure Sci-Fi
Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,Snow White and the Huntsman,Snow White and the Huntsman Chris Hemsworth Kristen Stewart Sam Claflin Action Adventure Drama Fantasy
Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,Maleficent,Maleficent Angelina Jolie Pitt Sharlto Copley Sam Riley Action Adventure Family Fantasy Romance
Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes Gary Oldman Judy Greer Kodi Smit-McPhee Action Adventure Drama Sci-Fi
Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 Ronin,47 Ronin Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Action Adventure Drama Fantasy
Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,Captain America: The Winter Soldier,Captain America: The Winter Soldier Scarlett Johansson Chris Evans Hayley Atwell Action Adventure Sci-Fi
Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,Shrek Forever After,Shrek Forever After Jon Hamm Kathy Griffin Mary Kay Place Adventure Animation Comedy Family Fantasy
Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,Tomorrowland,Tomorrowland Judy Greer Chris Bauer Thomas Robinson Action Adventure Family Mystery Sci-Fi
Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,Big Hero 6,Big Hero 6 Damon Wayans Jr. Daniel Henney Abraham Benrubi Action Adventure Animation Comedy Drama Family Sci-Fi
Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,Wreck-It Ralph,Wreck-It Ralph Jack McBrayer Sarah Silverman Joe Lo Truglio Adventure Animation Comedy Family Sci-Fi
Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,The Polar Express,The Polar Express Tom Hanks Eddie Deezen Peter Scolari Adventure Animation Family Fantasy
Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,Independence Day: Resurgence,Independence Day: Resurgence Vivica A. Fox Sela Ward Judd Hirsch Action Adventure Sci-Fi
Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,How to Train Your Dragon,How to Train Your Dragon Gerard Butler America Ferrera Craig Ferguson Adventure Animation Family Fantasy
Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines Nick Stahl M.C. Gainey Carolyn Hennesy Action Sci-Fi
James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,Guardians of the Galaxy,Guardians of the Galaxy Bradley Cooper Vin Diesel Djimon Hounsou Action Adventure Sci-Fi
Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,Interstellar,Interstellar Matthew McConaughey Anne Hathaway Mackenzie Foy Adventure Drama Sci-Fi
Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,Inception,Inception Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,The Hobbit: An Unexpected Journey,The Hobbit: An Unexpected Journey Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,The Curious Case of Benjamin Button,The Curious Case of Benjamin Button Brad Pitt Jason Flemyng Julia Ormond Drama Fantasy Romance
Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,X-Men: First Class,X-Men: First Class Jennifer Lawrence Michael Fassbender Oliver Platt Action Adventure Sci-Fi
Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2 Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Adventure Sci-Fi
Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,The Sorcerer's Apprentice,The Sorcerer's Apprentice Nicolas Cage Omar Benson Miller Robert Capron Action Adventure Family Fantasy
Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,Poseidon,Poseidon Jimmy Bennett Mike Vogel Andre Braugher Action Adventure Drama Thriller
James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,Alice Through the Looking Glass,Alice Through the Looking Glass Johnny Depp Alan Rickman Anne Hathaway Adventure Family Fantasy
Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,Shrek the Third,Shrek the Third Justin Timberlake Eric Idle Rupert Everett Adventure Animation Comedy Family Fantasy
Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,Warcraft,Warcraft Dominic Cooper Callum Rennie Ruth Negga Action Adventure Fantasy
Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,Terminator Genisys,Terminator Genisys J.K. Simmons Emilia Clarke Matt Smith Action Adventure Sci-Fi
Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Chronicles of Narnia: The Voyage of the Dawn Treader Bruce Spence Shane Rangi Laura Brent Adventure Family Fantasy
Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,Pearl Harbor,Pearl Harbor Jennifer Garner Jaime King Mako Action Drama History Romance War
Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,Transformers,Transformers Zack Ward Michael O'Neill Kevin Dunn Action Adventure Sci-Fi
Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,Alexander,Alexander Anthony Hopkins Angelina Jolie Pitt Brian Blessed Action Adventure Biography Drama History Romance War
David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix Robert Pattinson Daniel Radcliffe Fiona Shaw Adventure Family Fantasy Mystery
Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire Robert Pattinson Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,Hancock,Hancock Will Smith Charlize Theron Eddie Marsan Action Drama
Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,I Am Legend,I Am Legend Will Smith Alice Braga Willow Smith Drama Horror Sci-Fi
Tim Burton,Johnny Depp,Christopher Lee,David Kelly,Adventure Comedy Family Fantasy,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory Johnny Depp Christopher Lee David Kelly Adventure Comedy Family Fantasy
Brad Bird,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Animation Comedy Family Fantasy,Ratatouille,Ratatouille Janeane Garofalo John Ratzenberger Brian Dennehy Animation Comedy Family Fantasy
Christopher Nolan,Christian Bale,Liam Neeson,Morgan Freeman,Action Adventure,Batman Begins,Batman Begins Christian Bale Liam Neeson Morgan Freeman Action Adventure
Eric Darnell,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Action Adventure Animation Comedy Family,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa Bernie Mac Jada Pinkett Smith Cedric the Entertainer Action Adventure Animation Comedy Family
Shawn Levy,Robin Williams,Rami Malek,Steve Coogan,Adventure Comedy Family Fantasy,Night at the Museum: Battle of the Smithsonian,Night at the Museum: Battle of the Smithsonian Robin Williams Rami Malek Steve Coogan Adventure Comedy Family Fantasy
Gavin Hood,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Action Adventure Fantasy Sci-Fi Thriller,X-Men Origins: Wolverine,X-Men Origins: Wolverine Hugh Jackman Ryan Reynolds Dominic Monaghan Action Adventure Fantasy Sci-Fi Thriller
Lana Wachowski,Essie Davis,Collin Chou,Nona Gaye,Action Sci-Fi,The Matrix Revolutions,The Matrix Revolutions Essie Davis Collin Chou Nona Gaye Action Sci-Fi
Chris Buck,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Adventure Animation Comedy Family Fantasy Musical,Frozen,Frozen Josh Gad Maurice LaMarche Livvy Stubenrauch Adventure Animation Comedy Family Fantasy Musical
Lana Wachowski,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Action Sci-Fi,The Matrix Reloaded,The Matrix Reloaded Steve Bastoni Daniel Bernhardt Helmut Bakaitis Action Sci-Fi
Alan Taylor,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,Thor: The Dark World,Thor: The Dark World Chris Hemsworth Natalie Portman Anthony Hopkins Action Adventure Fantasy
George Miller,Tom Hardy,Charlize Theron,Zoë Kravitz,Action Adventure Sci-Fi Thriller,Mad Max: Fury Road,Mad Max: Fury Road Tom Hardy Charlize Theron Zoë Kravitz Action Adventure Sci-Fi Thriller
Ron Howard,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Mystery Thriller,Angels & Demons,Angels & Demons Tom Hanks Ayelet Zurer Armin Mueller-Stahl Mystery Thriller
Kenneth Branagh,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Action Adventure Fantasy,Thor,Thor Chris Hemsworth Natalie Portman Anthony Hopkins Action Adventure Fantasy
Byron Howard,Chloë Grace Moretz,Diedrich Bader,James Lipton,Adventure Animation Comedy Drama Family,Bolt,Bolt Chloë Grace Moretz Diedrich Bader James Lipton Adventure Animation Comedy Drama Family
Hoyt Yeatman,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Action Adventure Animation Comedy Family Fantasy Sci-Fi,G-Force,G-Force Kelli Garner Piper Mackenzie Harris Niecy Nash Action Adventure Animation Comedy Family Fantasy Sci-Fi
Jonathan Liebesman,Liam Neeson,Edgar Ramírez,Lily James,Action Adventure Fantasy,Wrath of the Titans,Wrath of the Titans Liam Neeson Edgar Ramírez Lily James Action Adventure Fantasy
Tim Burton,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Comedy Fantasy Horror,Dark Shadows,Dark Shadows Johnny Depp Chloë Grace Moretz Christopher Lee Comedy Fantasy Horror
Christopher McQuarrie,Tom Cruise,Jeremy Renner,Sean Harris,Action Adventure Thriller,Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation Tom Cruise Jeremy Renner Sean Harris Action Adventure Thriller
Joe Johnston,Anthony Hopkins,Simon Merrells,Art Malik,Drama Fantasy Horror Thriller,The Wolfman,The Wolfman Anthony Hopkins Simon Merrells Art Malik Drama Fantasy Horror Thriller
David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,The Legend of Tarzan,The Legend of Tarzan Christoph Waltz Alexander Skarsgård Casper Crump Action Adventure Drama Romance
Steve Hickner,Matthew Broderick,Oprah Winfrey,Rip Torn,Adventure Animation Comedy Family,Bee Movie,Bee Movie Matthew Broderick Oprah Winfrey Rip Torn Adventure Animation Comedy Family
Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,Action Adventure Animation Comedy Family,Kung Fu Panda 2,Kung Fu Panda 2 Angelina Jolie Pitt Gary Oldman Mike Bell Action Adventure Animation Comedy Family
M. Night Shyamalan,Seychelle Gabriel,Noah Ringer,Aasif Mandvi,Action Adventure Family Fantasy,The Last Airbender,The Last Airbender Seychelle Gabriel Noah Ringer Aasif Mandvi Action Adventure Family Fantasy
J.J. Abrams,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan,Action Adventure Thriller,Mission: Impossible III,Mission: Impossible III Philip Seymour Hoffman Tom Cruise Eddie Marsan Action Adventure Thriller
